elapsed_s,board_uptime_s,decoded_frames,reconnects,read_errors,control_errors,captured,processed,encoded,rss_mb,fd_count,capture_fps,process_fps,encode_fps,inference_dropped,video_dropped,driver_sequence_gaps,inference_health,recording_state
1229.3910000000033,1242.413742856,24390,4,0,0,24838,17917,24838,58.046875,46,20.18537044630154,14.418121747358242,20.18537044630154,6920,0,4,normal,completed
1234.4059999999881,1247.678974242,24490,4,0,0,24944,17991,24943,58.046875,46,20.466084532022077,13.644056354681384,19.491509078116263,6951,0,4,normal,completed
1239.4219999999914,1251.876737048,24591,4,0,0,25028,18051,25027,58.046875,46,20.288057648566046,14.491469748975746,19.321959665300994,6975,0,4,normal,completed
1244.4379999999946,1257.117074362,24691,4,0,0,25132,18126,25132,58.046875,46,19.3440725975926,14.508054448194448,20.311276227472227,7005,0,4,normal,completed
1249.4530000000086,1262.74027858,24790,4,0,0,25245,18206,25245,58.046875,46,19.49189533725441,15.061919124242042,20.37789057985688,7038,0,4,normal,completed
1254.4689999999828,1266.98808483,24892,4,0,0,25330,18267,25329,58.046875,46,20.209651693120154,15.397829861424881,20.209651693120154,7062,0,4,normal,completed
1259.4839999999967,1272.235335733,24992,4,0,0,25435,18347,25435,58.046875,46,19.935847468119746,17.087869258388356,19.935847468119746,7087,0,4,normal,completed
1264.5,1277.553351195,25092,4,0,0,25541,18427,25541,58.046875,46,19.919204009257705,15.17653638800587,19.919204009257705,7113,0,4,normal,completed
1269.5160000000033,1282.776284648,25193,4,0,0,25646,18501,25645,58.046875,46,20.3889175933564,14.563512566683142,20.3889175933564,7143,0,4,normal,completed
1274.5469999999914,1287.019430782,25293,4,0,0,25731,18562,25730,58.046875,46,20.42344837868613,14.853417002680821,19.495109816018577,7167,0,4,normal,completed
1279.5629999999946,1292.293302831,25393,4,0,0,25836,18641,25836,58.046875,46,19.802704504578056,16.03076078942033,19.802704504578056,7193,0,4,normal,completed
1284.5629999999946,1297.546560871,25494,4,0,0,25941,18720,25941,58.046875,46,19.963744831691862,14.259817736922757,19.963744831691862,7220,0,4,normal,completed
1289.5780000000086,1302.894180369,25594,4,0,0,26048,18796,26048,58.046875,46,19.611294303894805,14.008067359924862,20.54516546122313,7250,0,4,normal,completed
1294.5939999999828,1307.071845546,25693,4,0,0,26131,18856,26130,58.046875,46,20.255648019062782,14.468320013616273,20.255648019062782,7273,0,5,normal,completed
1299.6089999999967,1312.337108783,25793,4,0,0,26236,18932,26235,58.046875,46,20.172398000997585,14.408855714998275,19.2118076199977,7302,0,5,normal,completed
1304.625,1317.565749975,25894,4,0,0,26340,19008,26340,58.046875,46,20.038325358332703,14.313089541666217,20.038325358332703,7331,0,5,normal,completed
1309.6410000000033,1322.82648008,25994,4,0,0,26446,19084,26445,58.046875,46,20.747434298951273,14.14597793110314,19.804369103544396,7361,0,5,normal,completed
1314.6719999999914,1326.988543753,26094,4,0,0,26529,19144,26528,58.046875,46,20.248334463847666,14.463096045605475,19.2841280608073,7383,0,5,normal,completed
1319.6879999999946,1332.25587669,26195,4,0,0,26634,19224,26634,58.046875,46,19.81834314155404,16.04342063840089,19.81834314155404,7409,0,5,normal,completed
1324.7030000000086,1337.501876216,26295,4,0,0,26739,19302,26739,58.046875,46,19.64137832410897,14.964859675511597,20.576682053828446,7436,0,5,normal,completed
1329.7189999999828,1342.76296604,26396,4,0,0,26844,19377,26844,58.3046875,46,19.980267982090382,14.271619987207416,19.980267982090382,7466,0,5,normal,completed
1334.7339999999967,1348.019509238,26496,4,0,0,26950,19450,26949,58.3046875,46,20.02247908471619,14.301770774797276,20.02247908471619,7498,0,5,normal,completed
1339.75,1352.217697143,26596,4,0,0,27034,19509,27033,58.3046875,46,20.651491300649877,14.080562250443096,19.712787150620336,7522,0,5,normal,completed
1344.7660000000033,1357.499200866,26697,4,0,0,27139,19586,27139,58.3046875,46,19.43899612580807,14.810663714901388,20.36466260798941,7552,0,5,normal,completed
1349.7660000000033,1362.830568905,26797,4,0,0,27246,19661,27245,58.3046875,46,20.357976461229313,14.541411758020937,20.357976461229313,7583,0,5,normal,completed
1354.7660000000033,1368.095030318,26897,4,0,0,27351,19737,27351,58.3046875,46,20.25747097048702,14.469622121776442,20.25747097048702,7613,0,5,normal,completed
1359.7809999999881,1372.289855182,26997,4,0,0,27435,19795,27435,58.3046875,46,20.312884329142037,13.54192288609469,20.312884329142037,7639,0,5,normal,completed
1364.7969999999914,1377.578763963,27097,4,0,0,27541,19870,27540,58.3046875,46,19.95868349128814,14.256202493777245,19.95868349128814,7669,0,5,normal,completed
1369.8129999999946,1382.827666614,27197,4,0,0,27646,19944,27645,58.3046875,46,19.950959970365414,14.250685693118154,19.950959970365414,7700,0,5,normal,completed
1374.8280000000086,1388.117640111,27298,4,0,0,27752,20020,27751,58.3046875,46,20.47434407546753,14.890432054885478,19.54369207203719,7730,0,5,normal,completed
1379.8280000000086,1392.306734505,27398,4,0,0,27835,20085,27835,58.3046875,46,19.44014282144159,16.524121398225354,19.44014282144159,7748,0,5,normal,completed
1384.8589999999967,1397.574924912,27499,4,0,0,27941,20165,27940,58.3046875,47,19.801983036210675,15.087225170446228,19.801983036210675,7774,0,5,normal,completed
1389.875,1402.888472798,27598,4,0,0,28047,20240,28047,58.3046875,46,19.807723928057136,13.865406749639995,20.798110124459992,7805,0,5,normal,completed
1394.8910000000033,1408.094250771,27698,4,0,0,28150,20313,28150,58.3046875,46,19.536481369851657,13.67553695889616,20.51330543834424,7835,0,6,normal,completed
1399.9059999999881,1412.290561932,27798,4,0,0,28234,20373,28234,58.3046875,46,19.882599724672577,14.201856946194697,19.882599724672577,7860,0,6,normal,completed
1404.9059999999881,1417.539528047,27899,4,0,0,28339,20448,28339,58.3046875,46,20.055984504356715,14.325703217397653,20.055984504356715,7890,0,6,normal,completed
1409.9219999999914,1422.782170726,27999,4,0,0,28444,20524,28444,58.3046875,46,19.853601565234502,13.235734376823002,20.799011163579003,7918,0,6,normal,completed
1414.9530000000086,1428.027093067,28099,4,0,0,28549,20598,28548,58.3046875,46,19.82640659267672,13.217604395117814,19.82640659267672,7949,0,6,normal,completed
